City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitefish,48.4111,-114.3376,9.17,97,100,1.54,US,1697029530
83,todos santos,23.45,-110.2167,24.25,82,0,3.25,MX,1697029613
84,san patricio,28.017,-97.5169,21.91,94,100,3.73,US,1697029614
85,istgah-e rah ahan-e garmsar,35.2346,52.3094,29.05,24,11,4.8,IR,1697029615
86,monte alegre,-2.0078,-54.0692,32.05,49,28,3.36,BR,1697029615
87,sakakah,29.9697,40.2064,34.76,16,20,3.2,SA,1697029616
88,albany,42.6001,-73.9662,11.26,85,100,1.96,US,1697029444
89,aykhal,66.0,111.5,1.71,71,7,11.62,RU,1697029617
90,puerto ayora,-0.7393,-90.3518,24.19,91,100,4.02,EC,1697029337
91,grand baie,-20.0182,57.5802,26.26,61,100,2.2,MU,1697029574
92,wailua homesteads,22.0669,-159.378,24.44,73,0,5.14,US,1697029618
93,flying fish cove,-10.4217,105.6791,25.82,94,100,4.12,CX,1697029619
94,hasaki,35.7333,140.8333,17.22,55,3,6.46,JP,1697029619
95,susuman,62.7833,148.1667,-12.23,89,8,1.34,RU,1697029620
96,manosque,43.8288,5.7869,25.87,29,0,3.66,FR,1697029621
97,guozhen,34.3659,107.359,14.5,95,100,1.1,CN,1697029621
98,ribeira grande,38.5167,-28.7,22.65,78,40,4.02,PT,1697029622
99,piacabucu,-10.4056,-36.4344,28.34,59,21,5.2,BR,1697029622
100,pathein,16.7833,94.7333,25.28,91,100,1.91,MM,1697029623
101,berdigestyakh,62.0989,126.6992,7.38,92,100,5.36,RU,1697029623
102,akureyri,65.6835,-18.0878,0.56,91,74,1.75,IS,1697029624
103,oliveira dos brejinhos,-12.3169,-42.8961,30.73,26,0,4.5,BR,1697029624
104,revda,56.801,59.9303,2.45,94,100,3.89,RU,1697029625
105,crane,31.3974,-102.3501,17.1,90,1,7.31,US,1697029625
106,sultanhisar,37.8897,28.1575,27.58,28,45,3.0,TR,1697029626
107,egilsstadir,65.2653,-14.3948,1.81,90,99,7.81,IS,1697029627
108,heinola,61.2056,26.0381,12.22,95,100,6.34,FI,1697029627
109,tofol,5.3248,163.0078,29.07,75,100,4.41,FM,1697029628
110,papatowai,-46.5619,169.4708,9.58,91,100,10.07,NZ,1697029628
111,port mathurin,-19.6833,63.4167,23.53,75,93,3.58,MU,1697029629
112,acajutla,13.5928,-89.8275,27.12,83,100,3.65,SV,1697029629
113,wuhai,39.6647,106.8122,16.17,53,100,2.15,CN,1697029630
114,kismayo,-0.3582,42.5454,27.81,73,91,6.97,SO,1697029630
115,entebbe,0.0644,32.4469,25.18,69,20,6.69,UG,1697029631
116,kudat,6.8837,116.8477,27.13,80,100,3.53,MY,1697029631
117,itoman,26.1247,127.6694,27.01,73,20,4.12,JP,1697029632
118,constantia,44.1833,28.65,16.5,47,0,3.5,RO,1697029632
119,nemuro,43.3236,145.575,10.69,62,2,3.19,JP,1697029633
120,ciudad lazaro cardenas,17.9583,-102.2,25.6,90,99,2.56,MX,1697029633
121,atafu village,-8.5421,-172.5159,28.67,74,17,3.83,TK,1697029634
122,awjilah,29.1081,21.2869,29.21,25,0,3.09,LY,1697029635
123,kalmunai,7.4167,81.8167,26.63,83,100,5.09,LK,1697029636
124,wuchuan,21.4571,110.7659,24.34,84,100,3.18,CN,1697029637
125,massawa,15.6097,39.45,34.34,51,0,5.59,ER,1697029637
126,koulikoro,14.0,-7.75,36.97,23,11,1.82,ML,1697029638
